username,rating,comment
rachmafarida22,5,"Sepadan dengan Harga:ya
Fitur Terbaik:bluetooth speaker, radio fm

Order tgl 14-09-22 barang sampai tgl 16-09-22, berfungsi dengan baik dan benar speaker dan mic nya, suara speaker nya kencang dan halus"
cgma77w7ku,5,"Fitur Terbaik:baguuuuuuuuuuus banget
Sepadan dengan Harga:terjangkau👍👍👍👍

Alhamdulillah, barangnya bagus bangeeet
Pokokx sip dah,👍 gk nyesel, n pengirimanx sangat cepat,
Terimah kasih teler n shopi"
virgobebyshop,5,"Fitur Terbaik:Ya, memang terbaik banget. kalau pun ada rating bintang 10 pasti tak kasih 10 bintang. sayangnya cuma ada bintang 5😄
Sepadan dengan Harga:Iya, sepadan dan terbaik. pokoknya nggak nyesel beli di toko ini.

Pada tanggal 22 Juli 2023 ini saya berkomentar. Maaf juga sedikit terlambat beberapa hari kasih penilaiannya. Soalnya lagi sibuk""nya. 

Awalnya pesen ini sempet ragu sih, soalnya sebelumnya belum pernah beli barang elektronik di shopee. Jadi takut pas sampai di rumah. Sebenarnya mau kutolak, tapi udah terlanjur pesen, dan kasihan kurirnya juga sih. Jadi kucoba terima. Sempet minta nomor j&t daerahku juga, buat jaga"" barangnya ku return. TAPI, Alhamdulilah nya barang sampai rumah dengan selamat, yg tadinya ketar ketir jadi lega karena kualitasnya sangat oke banget. Dari suaranya, mic nya, dll nya. Oke banget pokoknya. Kurir yg ngantar juga aku kenal, jadi langsung say helo gitu deh, dan kurirnya juga menyarankan kalau mau di return nantinya ke pihak J&T lalu dikasih nomornya deh. Alhamdulilah. Udah gitu aja penilaianku di sini. Jadi malah curhat. Wkwkwkkk. Surabaya-jember. Alhamdulilah barang nyampai dengan baik."
silvi4.01,5,"Fitur Terbaik:Baguus
Sepadan dengan Harga:Sesuai dgn harga

Suka sekali,simple bisa dibawa kemana2"
a*****6,5,"Berfungsi dengan baik.. Terimakasih barang telah sampai dengan baik dan sesuai, pengemasan rapi serta aman sehingga barang selamat.. Semoga usahanya ke depan semakin sukses berlimpah keberkahan dan berkembang lancar 👍👍👍👍👍"
rukoyahmaeku,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:baik

Bagus suara tidak cempreng wajib beli dan coba"
fha1708,5,"Fitur Terbaik:baik
Sepadan dengan Harga:iya

Pengiriman cepat suaranya oke
Miknya juga bisa di pakek meskipun agak gini"
ferryindra86,5,"Fitur Terbaik:bagus banget dong,barang datang langsung di pakai buat karaoke 😍
Sepadan dengan Harga:harganya pas ,barang jg bagus🥰

pertama kali belanja ini langsung jatuh hati,barangnya bagus..."
yxvb7l9ilk,5,"Fitur Terbaik:oke
Sepadan dengan Harga:iya

Pengiriman cepat,,packing aman,,bagus bnget splikernya murah sesuai hrga tapi udah kereen👍👍👍"
siskaa0807,5,"Fitur Terbaik:baik
Sepadan dengan Harga:murah

Baguss berfungsi normal pengiriman cepat kurir malam malam datang baguss gak gembrek cocok. puas banget semoga awet"
f*****l,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:40rb an

Barang diterima sesuai pesanan. Bagus dan tidak ada kekurangan apapun. Pengiriman cepat kurir ramah. Alhamdulillah dapat potongan harga promo 50%. Makasih seller. Next pasti order lagii 😍😍😍"
i*****1,5,Barang sudah sampai sesuai pesanan dan gambar pengiriman cepat dan packing rapi trimaksih sudah dicoba dan bisa berfungsi semoga berkah dan laris manis
m*****8,5,Barang sampai dengan aman. Pengiriman sangat cepat. Kualitas produk cukup oke dan sesuai dengan harga. Kualitas suara juga cukup oke. Dijamin kualitas no tipu² jadi jangan khawatir barang jelek. Makasih seller
puspitaeika,5,"Sepadan dengan Harga:oke bangeeettt
Fitur Terbaik:👍🏻👍🏻👍🏻👍🏻👍🏻

Harga murah meriah kualitas gk murahan oke bangett suara merdu kerass sipp pokoknya,, 🤗🤗🤗
Dijamin gk nyesel,, thanks seller jg Abang kurir 👌🏻👌🏻👌🏻"
tyas_ciazio,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:sangat murah

alhamdulillah barang sampai dengan selamat tidak ada kekuarangan apapun , normal semua , suara juga jernih , ini sama titipan saudara , semua pada suka dan puas.."
mifta_layla15,5,"Fitur Terbaik:bagus barangnya
Sepadan dengan Harga:sangat murah

Alhamdulillah akhirnya datang juga bagus barangnya speaker bluetooth keren mudah2an enak suaranya karena belum dicoba"
juwitahanna03,5,"Sepadan dengan Harga:worth it
Fitur Terbaik:baik

Murah meriah,suara bagus...toko amanah,pengiriman cpt.pokok nya puas bgt beli di toko ini.makasih ya"
n*****7,5,"Sepadan dengan Harga:Sepadan
Fitur Terbaik:Dengar Music

Mantap...
Packing Aman...
Pengiriman Cepat..
Barang Oke...
Silahkan beli...
Thanks..."
a*****5,5,"Fitur Terbaik:lengkap dengan mic sesuai deskripsi dan berfungsi dengan baik
Sepadan dengan Harga:worth it dan terjangkau"
daniaran,5,"Fitur Terbaik:walopun harganya murah tapi soundnya bagus
Sepadan dengan Harga:harga murah tapi gak murahan

Terbaik. Harga murah tp kualitas top banget. Pengiriman juga cepat. Mantab deh pokoknya."
r*****n,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:cocok

Paketnya sudah datang, barangnya realpict sesuai gambar dan alhamdulillah berfungsi dengan baik semua, tokonya amanah. Terima kasih seller dan mas kurirnya semoga makin lancar rejekinya....🙏"
w*****1,5,"Fitur Terbaik:baik
Sepadan dengan Harga:lumayan lah dengan harga segitu

Terimakasih kakak admin, kemauanku sudah dilayani dengan baik❤️❤️
Awalnya sih bimbang ya, karena ada penilaian yang kurang baik
Tapi alhamdulilah pesanan sesuai expetasi❤️❤️"
e*****r,5,"Sepadan dengan Harga:ya
Fitur Terbaik:baik

Paket sudah sampai dengan selamat pengiriman cepat ..paket sesuai dengan pesanan harganya murah suaranya kencang bagus buat latihan anak  menyanyi ..suka sekali..."
r*****5,5,"Sepadan dengan Harga:harga sangat murah dari pada kualitas produk
Fitur Terbaik:sangat baik

Barang sesuai ekspestasi dan tidak ada kendala sama sekali...sangat memuaskan pelanggan"
vsyls9pchh,5,"Fitur Terbaik:suaranya besar
Sepadan dengan Harga:pas dikantong

Alhamdulillah paket sudah sampai bagus banget suaranya juga besar dan ngebas banget"
titantuueka,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:bagus

Mik,pengisian daya,speaker semua berfungsi dgn baik.."
oo0h91qh6i,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sesuai

Bagus lah pengiriman cepat bangeet..2 hari"
aisri15,5,Mantap lumayan bagus dengan harga segitu MH 👍
d*****a,5,"Fitur Terbaik:baik
Sepadan dengan Harga:ya

Suara jernih cuma tidak ada polume suarax segitu aja barang baik tidak ada yg rusak"
nurjanah.mamadea,5,Akhirnya yang ditunggu datang juga... barangnya mungil tapi suaranya keras sekali...anak2 sangat suka sekali..terimakasih shoppe
n.dee98,5,"Top banget pokoknya, pengemasan dan pengiriman cepat banget, barang ok suara besar. Ini kebetulan saya kecilin. barang mungil ringan, tp ok banget"
arjuna001982,5,alhamdulillah paket sudah sampai dengan selamat. barang sesuai pesanan.proses pengiriman cepat.kurir ramah .respon penjual baik. terima kasih buat toko ini sukses selalu amin
yi9bh2fkg_,5,"Sepadan dengan Harga:harga pas
Fitur Terbaik:🔊suaranya ok"
arista_fika,5,Ini cocok buat anak2 yg suka menyanyi..selain harga ekonomis...suaranya jg g jelek kok..kayaknya buat pengajian dirumah jg masih ok deh
didik_ristiawan,4,"Fitur Terbaik:setara harga
Sepadan dengan Harga:baaik

setara haraga, baik mayan juga ok lah aaji baiklah suka sekalai juga sukanilo"
ummusaiid,5,"Fitur Terbaik:oke
Sepadan dengan Harga:ya

Alhamdulillah paketan dh sampai... Barangx bagus..   imut"
ehlt91vqe4,5,"Sepadan dengan Harga:mumer, bisa bersaing
Fitur Terbaik:terbaik semua

Pesanan sampai dan sangat sesuai..
Mksh.."
r*****0,5,"Fitur Terbaik:terbaik
Sepadan dengan Harga:mantap

Keren paking rapi aman, kurir ramah😊 terimakasih reseller"
erikasarinah,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:suaranya mantul

Lumayan dipake karaokean di kamar, barangnya oke sejauh ini dipake enak. Semoga awet. Thanks selelr & shopee."
s*****9,5,"Sepadan dengan Harga:sesuai Harga ..
Fitur Terbaik:Harga segitu Ya Bagus sih

Jangan ber ekspetasi tinggi .. kalau mau yg lebih bagus pilih yang mahal ❤️👍
Thanks seller .. saran nya packing nya kasih buble wrap biar lebih aman ✅"
a*****4,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:sesuai

Barang sesuai pesann,berfungsi dngn baik"
d*****4,5,"Pengemasan cepatt dan packing aman, Barangnya baguuusss bgt n realpict. Alhamdulillah aman gak ada cacat dan berfungsi dg baik. Tengkyu udh amanah kaka"
19_9.19,5,Barang sudah sampai oke lengkap produk bagus pengiriman cepat kilatt pokoknya josss gandosssss ssssssssss
rararara159,5,"Fitur Terbaik:baik
Sepadan dengan Harga:murmer

Alhamdulillah barang lengkap
Tidak ada yg rusak
Real pick bgt"
faoziah818,5,"Fitur Terbaik:barangnya bagus banget

GK xangka barangx sebagus in...terima kasih shope"
qylir6xjf0,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sepadan dengan harga yg murah

Saya puas dengan barang yang dikirim,,pengiriman cepat,,barang amanah,,memuaskan walaupun imut"
cfbbejl0u6,5,"Barang bagus, suara jernih, pengiriman cepat. Terima kasih.
Recommended seller"
elliyeza,4,"Fitur Terbaik:puas
Sepadan dengan Harga:tidak mengecewakan

Alhamdulillah mendarat dengan selamat harga murah tapi tidak murahan. Terimakasih seller, terimakasih pak kurir karna di taruh di tempat aman, tidak di lempar"
udsatelit,5,"Fitur Terbaik:baik
Sepadan dengan Harga:ya

Bagus bakalan jadi langganan dah jaga terus kualitas yah👍🥰"
umamk0546,5,"Terima ksh kepada toko mickimtech,  pelayanan bagus,  ramah, kualitas speaker oke,  Pengemasan tebal dan Rapi. Harga murah. Semoga laris terus tokonya ya ka. Amiin"
50r_gi80b_,5,"Sepadan dengan Harga:sesuai harga
Fitur Terbaik:barang baik mulus masih gres

Barang sudah sampai ,sesuai pesanan.sesuai harga."
azka_fatoni,4,"Sepadan dengan Harga:iya

Bagus banget ga kecewa beli di toko ini, walaupun murah tapi kualitas bagu suaranya jernih. Anak saya suka banget"
natural.nusantara21,5,"Fitur Terbaik:Semua lengkap.
Sepadan dengan Harga:Tak kirain gede.. Trnyata kecil.. Oke lah dg harga segitu

Sesuai yg di pesan.. Terimakasih .. Sesuai dg hrganya.."
s*****n,5,"Packing aman, suara lumayan keras enak bisa dibawa kemana mana"
s*****n,5,"Packing aman, suara lumayan keras enak bisa dibawa kemana mana"
tirosh2112,5,"Fitur Terbaik:ringan praktis dibawa kemana2
Sepadan dengan Harga:sangat

Pengiriman cepet banget, baru kemaren co eh hari ini nyampe, sukak banget, suaranya kenceng, pas dengerin lagu di youtube joss suaranya, ga nyesel beli disini, harga murah tp ga murahan,mantap,makasih seller"
t*****i,5,"Fitur Terbaik:ya
Sepadan dengan Harga:ya

Barang datang, ponakan langsung senang. Barang berfungsi dengan baik. Auto dipakek buat latihan adzan dan nyanyi. Thanks seller udah gercep banget."
f*****a,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sepadan lah

Semoga aja awet, tdi lagi di coba mati tengah tengah semoga aja matinya emng karena engga ada btre nya,di charger dulu takutnya engga ada btrean. Tpi paking aman lah. Makasih seller👍"
cha_mei,4,"Untuk speaker nya sih berfungsi baik ya tapi tombol untuk besarin volume nya rusak ga bsa di tekan, dan mic nya juga baru di pake langsung rusak, jadi mesti beli mic lagi deh.. Huhuhu
Respon seller lama bangettt, semoga ke depannya bisa lebih fast respon yaa :) 

Terima kasih ka"
meilly12,5,"Barang bagus, harga Murah dan pengiriman cepat. Sangat suka"
f*****3,3,"Maaf sy kasih bintang 3 ,,speaker blutut nya cuma bisa dipake micro SD sm mic nya doang,,perangkat blutut nya ga konek,,sedikit kecewa,,ya maklum karena harga nya juga mungkin jadinya begini.TKS"
rurohazizi90,5,Keren brannya kecil  simple bisa buat anak 🎤 bisa buat Darusan. ..pengiriman cepat aman 🙏
kikyazzahraa,5,Harga murah kualitas bagus banget gak sesuai dengan harga murah barang sebagus ini
b*****n,5,"Fitur Terbaik:barang datang packing aman ,pengiriman cepat ,sesuai pesanan .suara mantab
Sepadan dengan Harga:sepadan"
a*****s,5,Harga murah..Barang bagus langsung di coba berfungsi dengan baik semua.. Peking baik.. Pengiriman cepat... Trims Shopee.. Pelapak dan ms kurir
axioo_computer,5,"Barang sudah sampai, pengiriman barang juga cepet baget sii bagus barang sesuai bagus banget suara baguss"
umi_latifa110,5,"Sepadan dengan Harga:harga pas di kantong
Fitur Terbaik:wihh bagus semoga awet

Lumayan ada mic nya buat karaoke nan kalo lagi bete di kamar"
0um21pjq_6,5,"Barangnya bagus sesuai pesanan,,cuma pengemasan lama tp gpp bagus g ada yg rusak pengiriman cepat,kurirnya ramah"
ratnaachink,5,"Fitur Terbaik:bagus banget
Sepadan dengan Harga:murah meriah

Murah meriah.. yang penting bisa buat karaokean... Barang sesuai dengan harganya"
ti_zy6j61o,4,"bahan plastik enteng,, suara bagus,,barang oke,pngirimn cpt"
r*****i,5,"Sepadan dengan Harga:sepadan dengan harga
Fitur Terbaik:bisa untuk karaoke

Barang datang sesuai pesanan dan kurir ramah.. terimakasih demamnya anak saya sudah sembuh.. 😊😊😊"
h*****a,4,"Alhamdulillah paket udah datang, cepat banget, barangnya bagus banget puas jadinya. Maksih seller makasih kurir. Semoga seller semakin amanah ya 🙏🙏🙏"
